elapsed_seconds,unique_branches
5.0,184
10.1,184
15.1,184
27.2,184
32.3,184
37.4,220
42.4,222
53.2,222
58.2,222
63.2,236
68.3,236
73.3,236
78.3,236
83.3,236
88.3,236
93.4,236
101.4,236
106.4,236
111.4,236
116.5,236
121.5,236
126.5,236
131.6,236
136.6,250
141.6,250
146.6,250
153.5,250
158.5,250
163.5,250
168.6,250
173.6,250
181.5,250
186.6,250
191.7,250
196.7,250
201.8,250
206.8,250
215.0,250
220.0,250
225.0,250
230.0,250
235.1,250
240.1,250
247.0,250
252.0,250
257.0,250
262.0,250
267.0,250
272.1,250
277.2,250
284.7,250
289.7,250
294.8,250
299.8,250
300.0,250
