elapsed_seconds,unique_branches
5.0,203
10.1,263
15.1,266
20.1,266
25.1,266
30.2,267
35.2,267
40.2,267
45.2,287
50.2,287
55.3,298
60.3,298
65.3,298
72.7,298
77.9,298
85.4,298
90.4,298
95.5,298
102.5,298
107.5,298
112.6,300
117.6,300
122.6,300
127.6,300
136.0,300
141.0,321
146.1,328
151.1,328
156.2,328
161.2,328
166.5,328
171.6,328
176.6,333
181.6,334
186.7,334
191.7,334
196.7,334
201.8,334
206.8,334
211.9,334
219.0,334
224.1,334
229.1,348
234.1,348
239.2,349
245.8,349
251.0,349
256.3,349
261.3,349
266.4,350
273.6,352
278.7,352
283.7,353
288.8,353
293.8,354
298.8,354
300.1,354
