elapsed_seconds,unique_branches
5.0,942
10.0,1122
15.0,1255
20.0,1311
25.0,1392
30.0,1462
35.0,1489
40.0,1521
45.1,1557
50.1,1570
55.1,1637
60.1,1679
65.1,1744
70.1,1789
75.1,1836
80.1,1838
85.1,1851
90.1,1874
95.1,1890
100.1,1917
105.1,1920
110.1,1947
115.1,1975
120.1,1990
125.1,2022
130.1,2029
135.1,2035
140.1,2049
145.1,2055
150.1,2067
155.1,2082
160.1,2087
165.1,2100
170.1,2124
175.1,2130
180.1,2139
185.1,2146
190.1,2157
195.1,2158
200.1,2163
205.1,2177
210.1,2183
215.1,2196
220.1,2211
225.2,2244
230.2,2248
235.2,2255
240.2,2255
245.2,2267
250.2,2273
255.2,2288
260.2,2296
265.2,2308
270.2,2310
275.2,2315
280.2,2328
285.2,2336
290.2,2339
295.2,2353
300.0,2362
