elapsed_seconds,unique_branches
5.0,280
10.0,290
15.0,295
20.0,296
25.0,298
30.0,299
35.0,299
40.0,299
45.0,299
50.0,299
55.0,299
60.0,299
65.0,299
70.0,299
75.0,299
80.0,299
85.0,299
90.0,299
95.0,303
100.0,303
105.1,303
110.1,303
115.1,303
120.1,303
125.1,303
130.1,303
135.1,303
140.1,303
145.1,303
150.1,303
155.1,303
160.1,303
165.1,303
170.1,303
175.1,303
180.1,303
185.1,303
190.1,305
195.1,305
200.1,305
205.1,305
210.1,305
215.1,305
220.1,305
225.1,305
230.1,305
235.1,305
240.1,305
245.1,305
250.1,305
255.1,306
260.1,306
265.1,306
270.1,306
275.1,306
280.1,306
285.1,306
290.1,306
295.1,306
300.0,306
