elapsed_seconds,error_code
25,error_1
29,error_3
30,error_70
31,error_1
36,error_71
45,error_3
49,error_34
52,error_23
52,error_49
53,error_49
56,error_23
56,error_34
63,error_49
70,error_34
72,error_10
74,error_3
77,error_37
77,error_49
82,error_23
87,error_10
87,error_3
89,error_10
97,error_71
100,error_71
101,error_23
102,error_23
103,error_34
104,error_34
105,error_75
119,error_49
120,error_1
123,error_90
128,error_34
128,error_87
141,error_49
145,error_1
147,error_10
155,error_74
159,error_87
161,error_70
173,error_87
188,error_71
188,error_23
203,error_68
209,error_68
209,error_10
213,error_68
221,error_3
223,error_16
227,error_30
238,error_75
249,error_10
251,error_82
252,error_10
252,error_30
254,error_49
261,error_75
272,error_23
278,error_3
299,error_1
