elapsed_seconds,unique_branches
5.0,805
10.0,1093
15.0,1199
20.0,1244
25.0,1343
30.0,1437
35.0,1486
40.0,1572
45.0,1599
50.1,1683
55.1,1736
60.1,1764
65.1,1786
70.1,1815
75.1,1822
80.1,1837
85.1,1857
90.1,1884
95.1,1888
100.1,1902
105.1,1946
110.1,1964
115.1,1994
120.1,2018
125.1,2053
130.2,2084
135.2,2095
140.2,2096
145.2,2117
150.2,2175
155.2,2211
160.2,2237
165.2,2281
170.2,2292
175.2,2297
180.2,2327
185.2,2341
190.2,2381
195.2,2387
200.2,2388
205.3,2409
210.3,2411
215.3,2444
220.3,2449
225.3,2450
230.3,2469
235.3,2485
240.3,2485
245.3,2486
250.3,2491
255.3,2494
260.3,2501
265.3,2509
270.3,2510
275.3,2528
280.3,2528
285.4,2536
290.4,2545
295.4,2545
300.0,2550
