elapsed_seconds,unique_branches
5.0,196
10.0,197
15.0,205
20.0,205
25.0,209
30.0,209
35.0,209
40.0,209
45.0,210
50.0,210
55.0,217
60.0,217
65.0,217
70.0,217
75.0,217
80.0,218
85.1,218
90.1,218
95.1,218
100.1,218
105.1,218
110.1,218
115.1,218
120.1,218
125.1,222
130.1,222
135.1,222
140.1,222
145.1,222
150.1,222
155.1,222
160.1,222
165.1,222
170.1,222
175.1,222
180.1,222
185.1,222
190.1,222
195.1,222
200.1,222
205.1,222
210.1,222
215.1,222
220.1,222
225.1,222
230.1,222
235.1,222
240.1,225
245.1,225
250.1,225
255.1,225
260.1,225
265.1,225
270.1,225
275.1,225
280.1,225
285.1,225
290.1,225
295.1,225
300.0,225
