elapsed_seconds,unique_branches
5.0,996
10.0,1222
15.0,1313
20.0,1378
25.0,1473
30.0,1500
35.0,1535
40.0,1554
45.0,1580
50.0,1598
55.0,1615
60.0,1658
65.0,1691
70.0,1730
75.0,1741
80.0,1788
85.0,1824
90.0,1824
95.1,1848
100.1,1869
105.1,1869
110.1,1877
115.1,1914
120.1,1924
125.1,1924
130.1,1986
135.1,2005
140.1,2037
145.1,2037
150.1,2049
155.1,2078
160.1,2081
165.1,2100
170.1,2107
175.1,2116
180.1,2136
185.1,2144
190.1,2145
195.1,2145
200.1,2151
205.1,2155
210.1,2161
215.1,2164
220.1,2165
225.1,2171
230.1,2180
235.1,2180
240.1,2195
245.1,2212
250.1,2227
255.1,2227
260.1,2227
265.1,2227
270.1,2237
275.1,2249
280.1,2250
285.1,2250
290.1,2264
295.2,2284
300.0,2287
